Cluster,Lng,Lat
0,122.50023104285712,10.692457742857144
1,122.5001259,10.682612415000001
2,122.51205186666668,10.680018426666665
3,122.5022049,10.69262981
4,122.50226083333332,10.692440033333334
5,122.50111390000001,10.693007945
6,122.49996436666667,10.6805137
7,122.50038907999999,10.684087371999999
8,122.51321409999998,10.68646717
9,122.5040131,10.692172050000002
10,122.50429535,10.692150595000001
11,122.5052452,10.691931725
12,122.50229640000002,10.69245815
13,122.5022964,10.69246006
14,122.5008469,10.6931076
15,122.50949859999999,10.679903666666666
16,122.50152493750001,10.68017888
17,122.50550538,10.68651943
18,122.51016564285715,10.685894558571428
19,122.51740416,10.680359076
20,122.51498158333334,10.680113633333335
21,122.50657654,10.69164009
22,122.5007848625,10.6931805575
23,122.49994354,10.69307022
24,122.4997368,10.680730817499999
25,122.49968124444445,10.680680273333333
26,122.5110703,10.6859951
27,122.5115153,10.68612544
28,122.51721,10.6825079925
29,122.50580343333333,10.691782316666666
30,122.5022888,10.69262695
31,122.50232507499999,10.6926360125
32,122.502594,10.69254684
33,122.500040075,10.6932022575
34,122.49968478947368,10.693244283157894
35,122.50702666666666,10.679778736666668
36,122.50599017142858,10.679720197142856
37,122.4997654,10.6809990425
38,122.49978464444445,10.681045213333334
39,122.5025635,10.69252491
40,122.5025711,10.692504885
41,122.50248719999999,10.69253159
42,122.50252276666667,10.692535716666667
43,122.5023956,10.692625049999998
44,122.50071719999998,10.69312954
45,122.5000534,10.693267344999999
46,122.49960330000002,10.69270897
47,122.5084839,10.67986012
48,122.50860211666667,10.679818791666667
49,122.50264996666668,10.680025416666666
50,122.5027847,10.680022715
51,122.50447079999999,10.67976189
52,122.50189317142858,10.686478884285714
53,122.50405119999999,10.686468126666668
54,122.51698955714286,10.684419495714286
55,122.5574163,10.693558056666667
56,122.50596113333334,10.691794709999998
57,122.506218,10.69171524
58,122.50067596000001,10.6931982
59,122.500061,10.69331932
60,122.5029831,10.679963109999997
61,122.50299839999998,10.679980593333333
62,122.50418346666667,10.679798443333334
63,122.50431825,10.6797924025
64,122.50323485,10.687190054999999
65,122.50294650000001,10.68726425
66,122.5192413,10.6872921
67,122.51936952000001,10.687370300000001
68,122.50606535,10.6917846225
69,122.5062943,10.69167709
70,122.5062714,10.691652613333332
71,122.50244393333332,10.69256083
72,122.50242154,10.692598344
73,122.5025024,10.69258499
74,122.5007324,10.69317341
75,122.5000687,10.693314550000002
76,122.5000687,10.69331932
77,122.5031738,10.679937365
78,122.50333078571428,10.679941174285714
79,122.5034866,10.67991352
80,122.5583115,10.693412779999997
81,122.55868910000001,10.693301680000001
82,122.53041076666666,10.689866700000001
83,122.55524225714285,10.694459507142856
84,122.5060628,10.691718736666665
85,122.5061188,10.691735267999999
86,122.5024872,10.692633629999998
87,122.5006638,10.6931591
88,122.49976350000001,10.69275475
89,122.5034332,10.67987156
90,122.5034663,10.67988078
91,122.50464630000002,10.67977047
92,122.50454963333334,10.679734233333335
93,122.50471576,10.679756354
94,122.516819,10.68599391
95,122.5577774,10.69347286
96,122.5580139,10.693467140000001
97,122.55902859999999,10.69343472
98,122.55914415714285,10.693379129999999
99,122.52324933333334,10.687926451666668
100,122.5298386,10.68960857
101,122.56796263333332,10.691949843333333
102,122.5007019,10.69315147
103,122.49974820000001,10.69299793
104,122.49975590000001,10.692999523333333
105,122.4997635,10.69274235
106,122.5046539,10.67974377
107,122.504631,10.67973804
108,122.5045929,10.6798048
109,122.50473789999998,10.67977047
110,122.5047302,10.67978287
111,122.5047981,10.679725794736843
112,122.5047531,10.679819105
113,122.51605070000001,10.686930084
114,122.51737538571429,10.687107494285714
115,122.51610185000001,10.689092155
116,122.52176475,10.6875932225
117,122.52170891428571,10.687641551428571
118,122.525823625,10.6891677375
119,122.5295486,10.68952656
120,122.52956896666667,10.689534189999998
121,122.5689659,10.691423415
122,122.5024796,10.69256401
123,122.499649,10.69316864
124,122.4996948,10.69313526
125,122.4997635,10.69273758
126,122.4997635,10.69273949
127,122.5047607,10.67973995
128,122.50476455,10.67980194
129,122.5007324,10.68657303
130,122.50070342,10.686543462
131,122.51670455,10.686455725
132,122.5110016,10.69047451
133,122.510994,10.69045162
134,122.51481411428571,10.689532825714284
135,122.52144926000001,10.687631035999999
136,122.52153014999999,10.68764162
137,122.52157846666667,10.68758869
