Lng,Lat,Cluster
122.56832218412698,10.701357239186509,1
122.5035659132184,10.692302594195402,2
122.5453315375,10.696675379722222,3
122.50489723900708,10.679806168156029,4
122.51748458170732,10.68877908054878,5
122.56576878499025,10.694433180448344,6
122.55349751178781,10.699194362927308,7
122.53474929729731,10.691958660000001,8
122.57248559650145,10.692745631574343,9
122.56110723484849,10.70046270969697,10
122.49975829971831,10.692912761584507,11
122.52814148351648,10.689059740000001,12
122.51179134857144,10.68399451142857,13
122.54320145741323,10.696956132460567,14
122.56815253297871,10.69718518675532,15
122.50211172115384,10.6864371475,16
122.5608548504,10.6938158348,17
122.52294159734512,10.6884432179646,18
122.5001170847826,10.680859585652174,19
122.53870375789474,10.694553756421053,20
122.51281453035713,10.690014294642856,21
122.51680282217194,10.686536831900453,22
122.54826866796117,10.698904798058253,23
122.56362901036586,10.700813014695122,24
122.56973540411765,10.691997017470587,25
122.55657741499999,10.700035803214286,26
